Name,Sex,Age,Height,Weight,Team,NOC,Year,Medal
A Lamusi,M,23,170,60.0,China,CHN,2012,None
Juhamatti Tapio Aaltonen,M,28,184,85.0,Finland,FIN,2014,Bronze
Andreea Aanei,F,22,170,125.0,Romania,ROU,2016,None
Jamale (Djamel-) Aarrass (Ahrass-),M,30,187,76.0,France,FRA,2012,None
Nstor Abad Sanjun,M,23,167,64.0,Spain,ESP,2016,None
Nstor Abad Sanjun,M,23,167,64.0,Spain,ESP,2016,None
Nstor Abad Sanjun,M,23,167,64.0,Spain,ESP,2016,None
Nstor Abad Sanjun,M,23,167,64.0,Spain,ESP,2016,None
Nstor Abad Sanjun,M,23,167,64.0,Spain,ESP,2016,None
Nstor Abad Sanjun,M,23,167,64.0,Spain,ESP,2016,None
Antonio Abadia Beci,M,26,170,65.0,Spain,ESP,2016,None
Giovanni Abagnale,M,21,198,90.0,Italy,ITA,2016,Bronze
Patimat Abakarova,F,21,165,49.0,Azerbaijan,AZE,2016,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,26,179,80.0,Russia,RUS,2012,None
Luc Abalo,M,27,182,86.0,France,FRA,2012,Gold
Luc Abalo,M,31,182,86.0,France,FRA,2016,Silver
Mara Laura Abalo,F,30,182,73.0,Argentina,ARG,2012,None
Emanuele Abate,M,27,190,80.0,Italy,ITA,2012,None
Ilyas Abbadi,M,19,175,75.0,Algeria,ALG,2012,None
Ilyas Abbadi,M,23,175,75.0,Algeria,ALG,2016,None
Abubakar Abbas Abbas,M,20,175,66.0,Bahrain,BRN,2016,None
Muhammad Abbas,M,23,168,55.0,Pakistan,PAK,2010,None
Sohail Abbas,M,37,178,80.0,Pakistan,PAK,2012,None
Forough Abbasi,F,20,164,58.0,Iran,IRI,2014,None
Shakeel Abbasi,M,28,165,60.0,Pakistan,PAK,2012,None
Soulmaz Abbasi Azad,F,28,173,60.0,Iran,IRI,2012,None
Simona Abbate,F,28,171,64.0,Italy,ITA,2012,None
Lois Abbingh,F,23,178,72.0,Netherlands,NED,2016,None
Salwan Jasim Abbood Abbood,M,24,180,104.0,Iraq,IRQ,2016,None
Clare Abbott,F,30,167,58.0,Ireland,IRL,2016,None
Clare Abbott,F,30,167,58.0,Ireland,IRL,2016,None
Jeremy Abbott,M,24,175,70.0,United States,USA,2010,None
Jeremy Abbott,M,28,175,70.0,United States,USA,2014,None
Jeremy Abbott,M,28,175,70.0,United States,USA,2014,Bronze
Mara Katherine Abbott,F,30,163,52.0,United States,USA,2016,None
Mohamed Ibrahim Abd El-Fatah Mohamed,M,34,185,98.0,Egypt,EGY,2012,None
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,19,167,60.0,Egypt,EGY,2012,None
Hossam Abdalla,M,28,203,97.0,Egypt,EGY,2016,None
Maha Abdalsalam Gouda,F,18,172,61.0,Egypt,EGY,2016,None
