Name,Sex,Age,Height,Weight,Team,NOC,Year,Medal
Luc Abalo,M,27,182,86.0,France,FRA,2012,Gold
Luc Abalo,M,31,182,86.0,France,FRA,2016,Silver
Jeremy Abbott,M,28,175,70.0,United States,USA,2014,Bronze
Jennifer Abel,F,20,160,62.0,Canada,CAN,2012,Bronze
Denis Mikhaylovich Ablyazin,M,19,161,62.0,Russia,RUS,2012,Bronze
Denis Mikhaylovich Ablyazin,M,19,161,62.0,Russia,RUS,2012,Silver
Denis Mikhaylovich Ablyazin,M,24,161,62.0,Russia,RUS,2016,Silver
Denis Mikhaylovich Ablyazin,M,24,161,62.0,Russia,RUS,2016,Silver
Denis Mikhaylovich Ablyazin,M,24,161,62.0,Russia,RUS,2016,Bronze
William Accambray,M,24,194,104.0,France,FRA,2012,Gold
Chantal Achterberg,F,27,172,72.0,Netherlands,NED,2012,Bronze
Chantal Achterberg,F,31,172,72.0,Netherlands,NED,2016,Silver
Nicola Virginia Adams,F,29,164,51.0,Great Britain,GBR,2012,Gold
Nicola Virginia Adams,F,33,164,51.0,Great Britain,GBR,2016,Gold
Rachael Alexis Adams,F,26,188,81.0,United States,USA,2016,Bronze
"Victoria ""Vicki"" Adams",F,24,164,69.0,Great Britain,GBR,2014,Bronze
Filip Kamil Adamski,M,29,189,87.0,Germany,GER,2012,Gold
Adenzia Aparecida Ferreira da Silva,F,25,187,65.0,Brazil,BRA,2012,Gold
"Richard ""Richy""  Adjei",M,27,190,110.0,Germany-2,GER,2010,Silver
"Rebecca ""Becky"" Adlington",F,23,179,70.0,Great Britain,GBR,2012,Bronze
"Rebecca ""Becky"" Adlington",F,23,179,70.0,Great Britain,GBR,2012,Bronze
Nathan Ghar-Jun Adrian,M,23,198,100.0,United States,USA,2012,Gold
Nathan Ghar-Jun Adrian,M,23,198,100.0,United States,USA,2012,Silver
Nathan Ghar-Jun Adrian,M,23,198,100.0,United States,USA,2012,Gold
Nathan Ghar-Jun Adrian,M,27,198,100.0,United States,USA,2016,Bronze
Nathan Ghar-Jun Adrian,M,27,198,100.0,United States,USA,2016,Bronze
Nathan Ghar-Jun Adrian,M,27,198,100.0,United States,USA,2016,Gold
Nathan Ghar-Jun Adrian,M,27,198,100.0,United States,USA,2016,Gold
Kseniya Dmitriyevna Afanasyeva,F,20,158,48.0,Russia,RUS,2012,Silver
Clarisse Agbegnenou,F,23,164,66.0,France,FRA,2016,Silver
Marilyn Agliotti,F,33,172,58.0,Netherlands,NED,2012,Gold
Yannick Agnel,M,20,202,90.0,France,FRA,2012,Gold
Yannick Agnel,M,20,202,90.0,France,FRA,2012,Gold
Yannick Agnel,M,20,202,90.0,France,FRA,2012,Silver
Meghan Christina Agosta (-Marciano),F,23,168,67.0,Canada,CAN,2010,Gold
Meghan Christina Agosta (-Marciano),F,26,168,67.0,Canada,CAN,2014,Gold
Christian Ahlmann,M,41,189,80.0,Germany,GER,2016,Bronze
Hannes Aigner,M,23,183,75.0,Germany,GER,2012,Bronze
"Charles Benedict ""Ben"" Ainslie",M,35,183,90.0,Great Britain,GBR,2012,Gold
Mobolade Abimbola Ajomale,M,20,180,62.0,Canada,CAN,2016,Bronze
Artur Kamilevich Akhmatkhuzin,M,28,187,79.0,Russia,RUS,2016,Gold
Morolake Akinosun,F,22,163,61.0,United States,USA,2016,Gold
Foluke Antinuke Akinradewo,F,24,191,79.0,United States,USA,2012,Silver
Foluke Antinuke Akinradewo,F,28,191,79.0,United States,USA,2016,Bronze
Monica Aksamit,F,26,183,74.0,United States,USA,2016,Bronze
Ruslan Vladimirovich Albegov,M,24,192,156.0,Russia,RUS,2012,Bronze
Alex Sandro Lobo Silva,M,21,177,60.0,Brazil,BRA,2012,Silver
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22,179,71.0,Brazil,BRA,2012,Silver
Nia Sifaatihii Ali,F,27,170,65.0,United States,USA,2016,Silver
Alison Conte Cerutti,M,26,203,106.0,Brazil-1,BRA,2012,Silver
Alison Conte Cerutti,M,30,203,106.0,Brazil-1,BRA,2016,Gold
"Mikhail Surenovich ""Misha"" Aloyan",M,23,164,52.0,Russia,RUS,2012,Bronze
"Eduardo C. ""Eddy"" Alvarez",M,24,175,72.0,United States,USA,2014,Silver
Thiago Soares Alves,M,25,194,88.0,Brazil,BRA,2012,Silver
An Ba-Ul,M,22,169,66.0,South Korea,KOR,2016,Silver
Viktor An,M,28,170,65.0,Russia,RUS,2014,Gold
Viktor An,M,28,170,65.0,Russia,RUS,2014,Gold
Viktor An,M,28,170,65.0,Russia,RUS,2014,Bronze
Viktor An,M,28,170,65.0,Russia,RUS,2014,Gold
milie Andol,F,28,170,97.0,France,FRA,2016,Gold
Alyssa Jean Anderson,F,21,173,64.0,United States,USA,2012,Gold
Haley Danita Anderson,F,20,178,68.0,United States,USA,2012,Silver
Jamie Louise Anderson,F,23,160,54.0,United States,USA,2014,Gold
Jasey-Jay Anderson,M,34,178,80.0,Canada,CAN,2010,Gold
"Matthew John ""Matt"" Anderson",M,29,202,100.0,United States,USA,2016,Bronze
Scott Andrews,M,24,175,85.0,Great Britain,GBR,2014,Silver
Tobias Angerer,M,32,179,72.0,Germany,GER,2010,Silver
Roman Sergeyevich Anoshkin,M,28,192,95.0,Russia,RUS,2016,Bronze
Daniela Anschtz-Thoms,F,35,165,60.0,Germany,GER,2010,Gold
Giselle Anne Ansley,F,24,176,73.0,Great Britain,GBR,2016,Gold
Dborah Jessica Anthonioz,F,31,165,52.0,France,FRA,2010,Silver
Carmelo Kyan Anthony,M,28,203,109.0,United States,USA,2012,Gold
Carmelo Kyan Anthony,M,32,203,109.0,United States,USA,2016,Gold
"Matthew ""Matt"" Antoine",M,28,190,84.0,United States,USA,2014,Bronze
Semyon Sergeyevich Antonov,M,23,202,97.0,Russia,RUS,2012,Bronze
Vladislav Nikolayevich Antonov,M,22,179,80.0,Russia,RUS,2014,Silver
Nataliya Nikolayevna Antyukh,F,31,182,69.0,Russia,RUS,2012,Gold
Nataliya Nikolayevna Antyukh,F,31,182,69.0,Russia,RUS,2012,Silver
Nikolay Sergeyevich Apalikov,M,29,203,105.0,Russia,RUS,2012,Gold
Gillian Mary Apps,F,26,180,80.0,Canada,CAN,2010,Gold
Gillian Mary Apps,F,30,180,80.0,Canada,CAN,2014,Gold
Adriana dos Santos Arajo,F,30,167,60.0,Brazil,BRA,2012,Bronze
Katie Louise Archibald,F,22,178,70.0,Great Britain,GBR,2016,Gold
William Peixoto Arjona,M,37,186,78.0,Brazil,BRA,2016,Gold
Tobias Arlt,M,26,178,77.0,Germany-1,GER,2014,Gold
Tobias Arlt,M,26,178,77.0,Germany,GER,2014,Gold
"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)",F,23,168,55.0,Great Britain,GBR,2012,Silver
"Elizabeth ""Betsey"" Armstrong",F,29,188,77.0,United States,USA,2012,Gold
Kristin Ann Armstrong (-Savola),F,38,173,58.0,United States,USA,2012,Gold
Kristin Ann Armstrong (-Savola),F,42,173,58.0,United States,USA,2016,Gold
Judith Arndt,F,36,173,59.0,Germany,GER,2012,Silver
"Geraldina Rachel ""Dina"" Asher-Smith",F,20,164,55.0,Great Britain,GBR,2016,Bronze
Sandra Auffarth,F,25,170,57.0,Germany,GER,2012,Bronze
Sandra Auffarth,F,25,170,57.0,Germany,GER,2012,Gold
Sandra Auffarth,F,29,170,57.0,Germany,GER,2016,Silver
Seimone Delicia Augustus,F,28,183,74.0,United States,USA,2012,Gold
Seimone Delicia Augustus,F,32,183,74.0,United States,USA,2016,Gold
Apti Khamzatovich Aukhadov,M,19,178,85.0,Russia,RUS,2012,Silver
Camille Anas Ayglon-Saurina,F,31,180,66.0,France,FRA,2016,Silver
David Valeryevich Ayrapetyan,M,28,158,49.0,Russia,RUS,2012,Bronze
Jrmie Azou,M,27,178,71.0,France,FRA,2016,Gold
"Alexander German ""Sander"" Baart",M,24,178,76.0,Netherlands,NED,2012,Silver
Sebastian Bachmann,M,25,182,71.0,Germany,GER,2012,Bronze
David Anthony Backes,M,25,190,100.0,United States,USA,2010,Silver
Baek Seong-Dong,M,20,171,66.0,South Korea,KOR,2012,Bronze
Shannon Deanne Bahrke,F,29,162,55.0,United States,USA,2010,Bronze
"Timothy ""Tim"" Baillie",M,33,176,78.0,Great Britain-1,GBR,2012,Gold
Sandrine Bailly,F,30,172,58.0,France,FRA,2010,Silver
Kathleen Baker,F,19,173,68.0,United States,USA,2016,Silver
Kathleen Baker,F,19,173,68.0,United States,USA,2016,Gold
Keshia Chantay Baker (-Kirtz),F,24,170,62.0,United States,USA,2012,Gold
Billy Pierre Bakker,M,23,188,82.0,Netherlands,NED,2012,Silver
Marcel Gerard Balkestein,M,31,180,77.0,Netherlands,NED,2012,Silver
Ashleigh Julia Ball,F,26,181,70.0,Great Britain,GBR,2012,Bronze
Coralie Balmy,F,25,180,67.0,France,FRA,2012,Bronze
Kayla Banwarth,F,27,178,70.0,United States,USA,2016,Bronze
Carina Br,F,22,185,75.0,Germany,GER,2012,Silver
Carina Br,F,26,185,75.0,Germany,GER,2016,Gold
Xavier Barachet,M,23,195,95.0,France,FRA,2012,Gold
Brbara Seixas de Freitas,F,29,178,67.0,Brazil-1,BRA,2016,Silver
Elinor Jane Barker,F,21,168,56.0,Great Britain,GBR,2016,Gold
Harrison Bryce Jordan Barnes,M,24,203,102.0,United States,USA,2016,Gold
Thomas Gabriel Jrmie Baroukh,M,28,183,70.0,France,FRA,2016,Bronze
Brigetta LaShea Barrett,F,21,183,64.0,United States,USA,2012,Silver
"Jennifer Mae ""Jenny"" Barringer-Simpson",F,29,166,53.0,United States,USA,2016,Bronze
"Corinne ""Cori"" Bartel (-Morris)",F,38,165,58.0,Canada,CAN,2010,Silver
Laura Bartlett,F,24,169,63.0,Great Britain,GBR,2012,Bronze
"Christopher Roger ""Chris"" Bartley",M,28,178,72.0,Great Britain,GBR,2012,Silver
Saskia Bartusiak,F,33,170,60.0,Germany,GER,2016,Gold
Anastasiya Vladimirovna Baryshnikova,F,21,173,67.0,Russia,RUS,2012,Bronze
Dimitri David Bascou,M,29,181,80.0,France,FRA,2016,Bronze
Guillaume Bastille,M,24,176,70.0,Canada,CAN,2010,Gold
Vitalina Igorevna Batsarashkina,F,19,162,60.0,Russia,RUS,2016,Silver
Mathieu Albert Daniel Bauderlique,M,27,185,81.0,France,FRA,2016,Bronze
Robert Bauer,M,21,183,76.0,Germany,GER,2016,Silver
Grgory Benot Baug,M,27,181,100.0,France,FRA,2012,Silver
Grgory Benot Baug,M,27,181,100.0,France,FRA,2012,Silver
Grgory Benot Baug,M,31,181,100.0,France,FRA,2016,Bronze
"Dorothy Lee ""Dotsie"" Bausch (Cowden-)",F,39,175,59.0,United States,USA,2012,Silver
Allison Baver,F,29,160,57.0,United States,USA,2010,Bronze
Maxime Eugne Ren Beaumont,M,34,191,94.0,France,FRA,2016,Silver
Anna Rose Bebington-Watkins,F,29,183,78.0,Great Britain,GBR,2012,Gold
Sylvie Becaert,F,34,166,54.0,France,FRA,2010,Silver
Laura Bechtolsheimer (-Tomlinson),F,27,169,56.0,Great Britain,GBR,2012,Bronze
Laura Bechtolsheimer (-Tomlinson),F,27,169,56.0,Great Britain,GBR,2012,Gold
Stephanie Beckert,F,21,172,73.0,Germany,GER,2010,Silver
Stephanie Beckert,F,21,172,73.0,Germany,GER,2010,Silver
Stephanie Beckert,F,21,172,73.0,Germany,GER,2010,Gold
Janine Elizabeth Beckie,F,21,173,63.0,Canada,CAN,2016,Bronze
